Pair,SSIM,Category,Sub-Category,Timestamp
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/area/plot_3_0_adjust_baseline_value_of_area_plot_montage.png,0.870337246953291,line-plots,area,2021-08-20 14:11:35
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/image/plot_0_0_display_image_of_matrix_data_montage.png,0.8789809838677188,images,image,2021-08-20 14:11:28
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_7_0_specify_additional_stem_and_marker_options_montage.png,0.8975206054880889,discrete-data-plots,stem,2021-08-20 14:11:15
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/area/plot_2_0_create_area_plot_using_horizontal_axis_values_montage.png,0.9134519018628469,line-plots,area,2021-08-20 14:11:34
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/area/plot_2_1_create_area_plot_using_horizontal_axis_values_montage.png,0.9217569210143436,line-plots,area,2021-08-20 14:11:34
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_7_0_add_colored_markers_to_each_data_point_montage.png,0.9225417292789435,line-plots,errorbar,2021-08-20 14:11:40
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_5_0_fill_in_plot_markers_montage.png,0.9226289883390367,discrete-data-plots,stem,2021-08-20 14:11:14
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_8_0_control_error_bar_cap_size_montage.png,0.9245327415547318,line-plots,errorbar,2021-08-20 14:11:40
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_9_1_modify_error_bars_after_creation_montage.png,0.926832584178518,line-plots,errorbar,2021-08-20 14:11:41
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_0_0_plot_vertical_error_bars_of_equal_length_montage.png,0.929186624897065,line-plots,errorbar,2021-08-20 14:11:38
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_3_0_plot_vertical_and_horizontal_error_bars_montage.png,0.9295027462754606,line-plots,errorbar,2021-08-20 14:11:39
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_5_0_control_error_bars_lengths_in_all_directions_montage.png,0.930383154048748,line-plots,errorbar,2021-08-20 14:11:40
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_4_0_plot_error_bars_with_no_line_montage.png,0.9304288183032414,line-plots,errorbar,2021-08-20 14:11:39
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_1_0_plot_vertical_error_bars_that_vary_in_length_montage.png,0.9308590880251297,line-plots,errorbar,2021-08-20 14:11:38
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/area/plot_6_1_change_area_characteristics_after_plotting_montage.png,0.933044128726398,line-plots,area,2021-08-20 14:11:36
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_2_0_plot_horizontal_error_bars_montage.png,0.9331812855988584,line-plots,errorbar,2021-08-20 14:11:38
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/errorbar/plot_9_0_modify_error_bars_after_creation_montage.png,0.9372809423484194,line-plots,errorbar,2021-08-20 14:11:41
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/fimplicit/plot_2_0_modify_appearance_of_implicit_plot_montage.png,0.9379274670735154,line-plots,fimplicit,2021-08-20 14:11:42
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/semilogx/plot_8_0_plot_discontinuous_function_montage.png,0.9380408417055246,line-plots,semilogx,2021-08-20 14:12:05
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/semilogy/plot_6_0_specify_target_axes_montage.png,0.9381206984997488,line-plots,semilogy,2021-08-20 14:12:09
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/plot/plot_0_0_create_line_plot_montage.png,0.9385189279319623,line-plots,plot,2021-08-20 14:11:51
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/semilogy/plot_8_0_plot_discontinuous_function_montage.png,0.9390126794975868,line-plots,semilogy,2021-08-20 14:12:10
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/fimplicit/plot_3_0_modify_implicit_plot_after_creation_montage.png,0.93929038685666,line-plots,fimplicit,2021-08-20 14:11:43
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/plot/plot_11_0_plot_circle_montage.png,0.9417878634837882,line-plots,plot,2021-08-20 14:11:52
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/line-plots/stairs/plot_9_0_create_a_stairstep_plot_using_plot_function_montage.png,,line-plots,stairs,2021-08-20 14:12:17
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarhistogram/plot_3_0_modify_appearance_of_histogram_chart_after_creation_montage.png,0.7270864764880217,polar-plots,polarhistogram,2021-08-20 14:12:27
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarhistogram/plot_3_1_modify_appearance_of_histogram_chart_after_creation_montage.png,0.728031109410597,polar-plots,polarhistogram,2021-08-20 14:12:27
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarhistogram/plot_2_0_modify_appearance_of_histogram_chart_montage.png,0.729425668860177,polar-plots,polarhistogram,2021-08-20 14:12:26
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarhistogram/plot_1_0_specify_number_of_bins_for_polar_histogram_chart_montage.png,0.7297521257122264,polar-plots,polarhistogram,2021-08-20 14:12:26
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_1_0_use_filled_markers_and_set_marker_size_montage.png,0.7479735307911533,polar-plots,polarscatter,2021-08-20 14:12:32
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_4_0_combine_two_scatter_charts_montage.png,0.750582281683885,polar-plots,polarscatter,2021-08-20 14:12:33
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_3_0_convert_from_degrees_to_radians_before_plotting_montage.png,0.752727096736681,polar-plots,polarscatter,2021-08-20 14:12:32
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_2_0_use_markers_with_varying_sizes_and_colors_montage.png,0.75276008264148,polar-plots,polarscatter,2021-08-20 14:12:32
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_5_0_modify_scatter_chart_after_creation_montage.png,0.756374428868087,polar-plots,polarscatter,2021-08-20 14:12:33
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_0_0_create_scatter_chart_montage.png,0.7597210396192973,polar-plots,polarscatter,2021-08-20 14:12:31
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarhistogram/plot_0_0_create_histogram_chart_in_polar_coordinates_montage.png,0.7669172575866984,polar-plots,polarhistogram,2021-08-20 14:12:25
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarscatter/plot_5_1_modify_scatter_chart_after_creation_montage.png,0.7732802984005176,polar-plots,polarscatter,2021-08-20 14:12:34
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_4_1_add_two_legends_montage.png,0.7777049272170877,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:37
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_4_0_add_two_legends_montage.png,0.8057380168987248,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:37
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_3_0_add_a_bubble_legend_montage.png,0.8077356112300873,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:37
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_1_0_specify_bubble_colors_montage.png,0.8188028833633193,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:34
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarbubblechart/plot_3_0_add_a_bubble_legend_montage.png,0.8252522423396804,polar-plots,polarbubblechart,2021-08-20 14:12:24
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarbubblechart/plot_4_0_display_bubbles_in_different_axes_on_the_same_scale_montage.png,0.8285008719657426,polar-plots,polarbubblechart,2021-08-20 14:12:25
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_0_0_create_polar_plot_montage.png,0.8292354292781284,polar-plots,polarplot,2021-08-20 14:12:27
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/polar-plots/polarplot/plot_2_0_plot_multiple_lines_in_polar_coordinates_montage.png,0.8343097195029856,polar-plots,polarplot,2021-08-20 14:12:28
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_1_1_specify_bubble_colors_montage.png,0.835990883329271,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:35
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_2_2_specify_bubble_transparency_and_outline_color_montage.png,0.8382968018676845,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:36
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/scatter-and-bubble-charts/bubblechart/plot_2_1_specify_bubble_transparency_and_outline_color_montage.png,0.8396895141329139,scatter-and-bubble-charts,bubblechart,2021-08-20 14:12:36
